mes_ano;rio;chuva;vazao;oxigenio;chuva_norm;vazao_norm;oxigenio_norm;codigo_estacao;chuva_hist;vazao_hist;chuva_hist_norm;vazao_hist_norm
2025-01;Rio Piracicaba em Artemis;211.0;151.39;96.96;1.0;0.9498575498575499;0.97;EF06;178.0;170.67;0.7990196078431373;1.0000000000000002
2025-01;Rio Piracicaba em Monte Alegre;161.0;117.14;4.78;0.761904761904762;0.7330167774612221;0.048;EF30;219.0;131.94;1.0;0.7707741477272728
2025-01;Rio Atibaia;110.0;9.62;0.0;0.5190476190476191;0.05229503007280785;0.0;EF31;181.0;11.15;0.8137254901960784;0.055871212121212134
2025-01;Rio Jaguari;193.0;2.16;0.67;0.9142857142857144;0.0050648939537828435;0.007;EF32;186.0;3.13;0.8382352941176471;0.008404356060606062
2025-01;Rio Jundiaí;181.0;13.92;44.14;0.8571428571428572;0.07951883507439063;0.441;EF33;217.0;14.6;0.9901960784313726;0.07629024621212123
2025-02;Rio Piracicaba em Artemis;151.0;159.31;2.38;0.7142857142857144;1.0;0.024;EF06;;;;
2025-02;Rio Piracicaba em Monte Alegre;95.0;144.18;12.53;0.4476190476190477;0.9042101930990821;0.125;EF30;150.0;116.65;0.6617647058823529;0.6802793560606062
2025-02;Rio Atibaia;159.0;12.89;0.0;0.7523809523809525;0.07299778410889522;0.0;EF31;180.0;11.28;0.8088235294117647;0.05664062500000001
2025-02;Rio Jaguari;109.0;2.35;0.0;0.5142857142857143;0.006267806267806269;0.0;EF32;131.0;2.76;0.5686274509803921;0.006214488636363634
2025-02;Rio Jundiaí;152.0;19.45;30.36;0.7190476190476192;0.11452991452991454;0.304;EF33;153.0;14.53;0.6764705882352942;0.07587594696969698
2025-03;Rio Piracicaba em Artemis;113.75;139.01;18.68;0.536904761904762;0.8714783159227605;0.187;EF06;;;;
2025-03;Rio Piracicaba em Monte Alegre;64.25;55.36;0.0;0.30119047619047623;0.3418803418803419;0.0;EF30;;;;
2025-03;Rio Atibaia;99.6;8.41;0.0;0.46952380952380957;0.0446343779677113;0.0;EF31;136.41;10.29;0.5951470588235295;0.05078125
2025-03;Rio Jaguari;86.0;1.51;0.0;0.4047619047619048;0.0009496676163342835;0.0;EF32;115.93;2.54;0.49475490196078437;0.004912405303030304
