mes_ano;rio;chuva;vazao;oxigenio;chuva_norm;vazao_norm;oxigenio_norm
2025-01;Rio Piracicaba em Artemis;211.0;151.39;96.96;1.0;0.95;0.97
2025-01;Rio Piracicaba em Monte Alegre;161.0;117.14;4.78;0.762;0.733;0.048
2025-01;Rio Atibaia;110.0;9.62;0.0;0.519;0.052;0.0
2025-01;Rio Jaguari;193.0;2.16;0.67;0.914;0.005;0.007
2025-01;Rio Jundiaí;181.0;13.92;44.14;0.857;0.08;0.441
2025-02;Rio Piracicaba em Artemis;151.0;159.31;2.38;0.714;1.0;0.024
2025-02;Rio Piracicaba em Monte Alegre;95.0;144.18;12.53;0.448;0.904;0.125
2025-02;Rio Atibaia;159.0;12.89;0.0;0.752;0.073;0.0
2025-02;Rio Jaguari;109.0;2.35;0.0;0.514;0.006;0.0
2025-02;Rio Jundiaí;152.0;19.45;30.36;0.719;0.115;0.304
2025-03;Rio Piracicaba em Artemis;113.75;139.01;18.68;0.537;0.871;0.187
2025-03;Rio Piracicaba em Monte Alegre;64.25;55.36;0.0;0.301;0.342;0.0
2025-03;Rio Atibaia;99.6;8.41;0.0;0.47;0.045;0.0
2025-03;Rio Jaguari;86.0;1.51;0.0;0.405;0.001;0.0
2025-03;Rio Jundiaí;52.2;6.95;10.49;0.244;0.035;0.105
2025-04;Rio Piracicaba em Artemis;61.8;77.02;78.44;0.29;0.479;0.784
2025-04;Rio Piracicaba em Monte Alegre;47.5;65.86;0.0;0.221;0.408;0.0
2025-04;Rio Atibaia;154.0;10.91;0.0;0.729;0.06;0.0
2025-04;Rio Jaguari;122.4;2.23;0.28;0.578;0.006;0.003
2025-04;Rio Jundiaí;55.6;8.13;38.94;0.26;0.043;0.389
2025-05;Rio Piracicaba em Artemis;31.8;44.62;66.8;0.147;0.274;0.668
2025-05;Rio Piracicaba em Monte Alegre;48.55;52.05;100.0;0.226;0.321;1.0
2025-05;Rio Atibaia;40.6;10.19;46.56;0.189;0.056;0.466
2025-05;Rio Jaguari;22.4;1.49;0.0;0.102;0.001;0.0
2025-05;Rio Jundiaí;24.0;4.42;2.83;0.11;0.019;0.028
2025-06;Rio Piracicaba em Artemis;58.0;40.07;74.27;0.271;0.245;0.743
2025-06;Rio Piracicaba em Monte Alegre;41.0;32.61;0.0;0.19;0.198;0.0
2025-06;Rio Atibaia;57.0;10.27;32.42;0.267;0.056;0.324
2025-06;Rio Jaguari;29.0;1.36;0.0;0.133;0.0;0.0
2025-06;Rio Jundiaí;69.0;5.03;12.26;0.324;0.023;0.123
2025-07;Rio Piracicaba em Artemis;17.0;31.08;51.48;0.076;0.188;0.515
2025-07;Rio Piracicaba em Monte Alegre;9.0;24.27;0.0;0.038;0.145;0.0
2025-07;Rio Atibaia;22.0;10.51;100.0;0.1;0.058;1.0
2025-07;Rio Jaguari;25.0;1.42;0.0;0.114;0.0;0.0
2025-07;Rio Jundiaí;27.0;3.89;21.77;0.124;0.016;0.218
2025-08;Rio Piracicaba em Artemis;4.0;25.37;57.26;0.014;0.152;0.573
2025-08;Rio Piracicaba em Monte Alegre;1.0;20.34;0.0;0.0;0.12;0.0
2025-08;Rio Atibaia;1.0;9.91;100.0;0.0;0.054;1.0
2025-08;Rio Jaguari;4.0;1.43;0.0;0.014;0.0;0.0
2025-08;Rio Jundiaí;12.0;3.21;0.27;0.052;0.012;0.003
2025-09;Rio Piracicaba em Artemis;12.0;27.75;27.23;0.052;0.167;0.272
2025-09;Rio Piracicaba em Monte Alegre;15.0;22.86;4.68;0.067;0.136;0.047
2025-09;Rio Atibaia;72.0;10.9;51.11;0.338;0.06;0.511
2025-09;Rio Jaguari;35.0;1.77;0.0;0.162;0.003;0.0
2025-09;Rio Jundiaí;30.0;3.74;10.56;0.138;0.015;0.106
